reference,gene_name
U3KQU8,U3KQU8
U3KQU7,U3KQU7
U3KQU6,U3KQU6
U3KQU5,U3KQU5
U3KQU4,U3KQU4
U3KQU3,U3KQU3
U3KQU2,U3KQU2
U3KQT9,U3KQT9
U3KQT8,U3KQT8
U3KQT6,U3KQT6
U3KQT5,U3KQT5
U3KQT4,U3KQT4
U3KQT3,U3KQT3
U3KQT2,U3KQT2
U3KQT1,U3KQT1
U3KQT0,U3KQT0
U3KQS9,U3KQS9
U3KQS8,U3KQS8
U3KQS6,U3KQS6
U3KQS5,U3KQS5
U3KQS4,U3KQS4
U3KQS3,U3KQS3
U3KQS2,U3KQS2
U3KQS1,U3KQS1
U3KQS0,U3KQS0
U3KQR8,U3KQR8
U3KQR7,U3KQR7
U3KQR6,U3KQR6
U3KQR5,U3KQR5
U3KQR4,U3KQR4
U3KQR3,U3KQR3
U3KQR2,U3KQR2
U3KQR1,U3KQR1
U3KQR0,U3KQR0
U3KQQ9,U3KQQ9
U3KQQ8,U3KQQ8
U3KQQ7,U3KQQ7
U3KQQ5,U3KQQ5
U3KQQ2,U3KQQ2
U3KQQ1,U3KQQ1
U3KQQ0,U3KQQ0
U3KQP9,U3KQP9
U3KQP8,U3KQP8
U3KQP6,U3KQP6
U3KQP5,U3KQP5
U3KQP4,U3KQP4
U3KQP3,U3KQP3
U3KQP2,U3KQP2
U3KQP1,U3KQP1
U3KQP0,U3KQP0
U3KQN8,U3KQN8
U3KQN7,U3KQN7
U3KQN6,U3KQN6
U3KQN5,U3KQN5
U3KQN3,U3KQN3
U3KQN2,U3KQN2
U3KQN1,U3KQN1
U3KQM7,U3KQM7
U3KQM5,U3KQM5
U3KQM4,U3KQM4
U3KQM2,U3KQM2
U3KQM1,U3KQM1
U3KQM0,U3KQM0
U3KQL9,U3KQL9
U3KQL7,U3KQL7
U3KQL6,U3KQL6
U3KQL4,U3KQL4
U3KQL3,U3KQL3
U3KQL2,U3KQL2
U3KQL1,U3KQL1
U3KQL0,U3KQL0
U3KQK8,U3KQK8
U3KQK7,U3KQK7
U3KQK6,U3KQK6
U3KQK5,U3KQK5
U3KQK4,U3KQK4
U3KQK3,U3KQK3
U3KQK2,U3KQK2
U3KQK1,U3KQK1
U3KQK0,U3KQK0
U3KQJ9,U3KQJ9
U3KQJ7,U3KQJ7
U3KQJ5,U3KQJ5
U3KQJ4,U3KQJ4
U3KQJ2,U3KQJ2
U3KQJ0,U3KQJ0
U3KQI8,U3KQI8
U3KQI6,U3KQI6
U3KQI5,U3KQI5
U3KQI4,U3KQI4
U3KQI3,U3KQI3
U3KQI2,U3KQI2
U3KQI1,U3KQI1
U3KQH8,U3KQH8
U3KQH7,U3KQH7
U3KQH6,U3KQH6
U3KQH5,U3KQH5
U3KQH2,U3KQH2
U3KQH1,U3KQH1
U3KQH0,U3KQH0
U3KQG9,U3KQG9
U3KQG8,U3KQG8
U3KQG7,U3KQG7
U3KQG6,U3KQG6
U3KQG5,U3KQG5
U3KQG4,U3KQG4
U3KQG3,U3KQG3
U3KQG1,U3KQG1
U3KQG0,U3KQG0
U3KQF9,U3KQF9
U3KQF8,U3KQF8
U3KQF7,U3KQF7
U3KQF6,U3KQF6
U3KQF5,U3KQF5
U3KQF4,U3KQF4
U3KQF3,U3KQF3
U3KQF2,U3KQF2
U3KQF1,U3KQF1
U3KQE9,U3KQE9
U3KQE8,U3KQE8
U3KQE7,U3KQE7
U3KQE6,U3KQE6
U3KQE5,U3KQE5
U3KQE4,U3KQE4
U3KQE3,U3KQE3
U3KQE2,U3KQE2
U3KQE0,U3KQE0
U3KQD9,U3KQD9
U3KQD8,U3KQD8
U3KQD7,U3KQD7
U3KQD6,U3KQD6
U3KQD5,U3KQD5
U3KQD4,U3KQD4
U3KQD2,U3KQD2
U3KQD0,U3KQD0
U3KQC9,U3KQC9
